tema,rank,score,folder_id,caption,estratto
europa,1,0.588,2026-03-19_002,"La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del governo. È dove vogliono arrivare, e anche per questo votiamo no.",La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del g...
europa,2,0.548,2026-03-25_001,"Restate mobilitati, perché ne avremo bisogno per costruire l’alternativa a questo governo.
Venite, partecipate, migliorateci.","Restate mobilitati, perché ne avremo bisogno per costruire l’alternativa a questo governo. Venite, partecipate, migliorateci. Ho parlato del messaggio politico che gli italiani ..."
europa,3,0.466,2026-03-18_001,"In Piazza del Popolo a Roma al fianco del comitato civico per il NO al referendum del 22 e 23 marzo.

Grazie a tutte e tutti per l’impegno e la passione di queste settimane di campagna! Mancano pochi giorni di campagna per convincere le persone a votare NO per difendere la Costituzione, mobilitiamoci fino all’ultimo momento utile!",In Piazza del Popolo a Roma al fianco del comitato civico per il NO al referendum del 22 e 23 marzo. Grazie a tutte e tutti per l’impegno e la passione di queste settimane di ca...
europa,4,0.464,2026-04-02_006,"C’è bisogno di un governo che si occupi dei problemi degli italiani, non degli ennesimi scandali dei suoi ministri.","C’è bisogno di un governo che si occupi dei problemi degli italiani, non degli ennesimi scandali dei suoi ministri. Mi consenta di iniziare da una cifra questa sera perché mi ha..."
europa,5,0.464,2026-03-27_001,Continuate a partecipare perché solo così potremo costruire l’alternativa a questo governo.,Continuate a partecipare perché solo così potremo costruire l’alternativa a questo governo. Quel voto e quei 15 milioni che hanno votato no hanno sicuramente dato un messaggio p...
giustizia,1,0.669,2026-03-20_001,"Votiamo NO a una riforma che non migliora la giustizia per i cittadini, ma indebolisce l’indipendenza dei giudici che tutela tutti, soprattutto chi non ha il potere o i soldi per cavarsela comunque.
La giustizia si può migliorare, ma non migliora mettendo i giudici sotto il controllo del governo. 

Votiamo NO anche all’arroganza di un governo che ha blindato una riforma costituzionale senza accettare di modificare nemmeno una virgola. 

Ricordate che per questo referendum non c’è quorum, OGNI VOTO PUÒ FARE LA DIFFERENZA! 

Un grazie a tutte e tutti coloro che si sono mobilitati per questa campagna, a tutto il Partito Democratico che si è speso in ogni territorio. 
Cercate di convincere più persone possibile a votare NO, per difendere la nostra Costituzione!","Votiamo NO a una riforma che non migliora la giustizia per i cittadini, ma indebolisce l’indipendenza dei giudici che tutela tutti, soprattutto chi non ha il potere o i soldi pe..."
giustizia,2,0.639,2026-03-19_004,"Andiamo a votare NO a una riforma sbagliata.
Il 22 e il 23 marzo difendiamo la Costituzione.","Andiamo a votare NO a una riforma sbagliata. Il 22 e il 23 marzo difendiamo la Costituzione. Questa non è una riforma che migliora la giustizia per voi, non migliora la giustizi..."
giustizia,3,0.557,2026-04-02_003,"Stesso giorno. Stesso Ufficio di Presidenza della Camera.
Due decisioni, due pesi e due misure.

Votando a maggioranza, la destra salva Giusi Bartolozzi sul caso Almasri, alzando uno scudo processuale,
ma sanziona 32 deputati che hanno difeso i valori antifascisti della Costituzione.

Proteggono chi libera un torturatore ricercato dalla Corte Penale Internazionale.
Puniscono chi difende la nostra democrazia.

Questa è la loro idea di giustizia.","Stesso giorno. Stesso Ufficio di Presidenza della Camera. Due decisioni, due pesi e due misure. Votando a maggioranza, la destra salva Giusi Bartolozzi sul caso Almasri, alzando..."
giustizia,4,0.556,2026-03-19_001,La mia intervista di questa sera a Cinque Minuti.,La mia intervista di questa sera a Cinque Minuti. Ce l'ha spiegato molto bene il governo quando il sottosegretario Mantovano dice che la riforma serve a riequilibrare i rapporti...
giustizia,5,0.545,2026-03-15_002,Il 22 e 23 marzo difendiamo la nostra Costituzione.,Il 22 e 23 marzo difendiamo la nostra Costituzione. Referendum Ma vi pare normale che la Presidente del Consiglio di questo Paese dica che se vince il no ci saranno più stuprato...
immigrazione,1,0.456,2026-04-10_001,"A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno di oltre un metro e mezzo.

Siamo qui per portare vicinanza e sostegno alle comunità molisana che ha subito centinaia di milioni di euro di danni. Alle amministrazioni locali servono risorse per gli interventi, le migliori competenze tecniche, strumenti tecnologici per il monitoraggio: i cittadini aspettano e meritano risposte immediate.

Il Partito Democratico è in prima linea, a ogni livello istituzionale, per fare la propria parte e sostenerli. 

Ma non possiamo continuare a inseguire le emergenze. È urgente, lo ribadiamo, un grande piano nazionale di prevenzione e messa in sicurezza del territorio contro il dissesto idrogeologico. Non possiamo più essere un Paese che spende 4 volte dopo le emergenze ciò che invece investe in prevenzione.","A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno ..."
immigrazione,2,0.429,2026-03-17_002,La mia intervista di questa sera al Tg1.,La mia intervista di questa sera al Tg1. Questa guerra illegale sta già costando 17 milioni in più al giorno agli italiani solo di carburanti e 10 milioni entrano in più nelle c...
immigrazione,3,0.427,2026-03-19_001,La mia intervista di questa sera a Cinque Minuti.,La mia intervista di questa sera a Cinque Minuti. Ce l'ha spiegato molto bene il governo quando il sottosegretario Mantovano dice che la riforma serve a riequilibrare i rapporti...
immigrazione,4,0.423,2026-04-05_001,,"Buona Pasqua a tutte e tutti, sperando che avvicini la pace perché il mondo oggi più che mai ne ha bisogno. No alla guerra, che tacciano le armi, che si riprenda il dialogo, che..."
immigrazione,5,0.417,2026-03-25_001,"Restate mobilitati, perché ne avremo bisogno per costruire l’alternativa a questo governo.
Venite, partecipate, migliorateci.","Restate mobilitati, perché ne avremo bisogno per costruire l’alternativa a questo governo. Venite, partecipate, migliorateci. Ho parlato del messaggio politico che gli italiani ..."
lavoro,1,0.497,2026-04-10_002,"Art. 1 della Costituzione: l’Italia è una Repubblica fondata sul lavoro.
Il governo Meloni vuole una Repubblica fondata sul lavoro povero e sul lavoro precario.",Art. 1 della Costituzione: l’Italia è una Repubblica fondata sul lavoro. Il governo Meloni vuole una Repubblica fondata sul lavoro povero e sul lavoro precario. Articolo 1. L'It...
lavoro,2,0.457,2026-03-29_001,"Il decreto fiscale infligge un colpo durissimo alle imprese che avevano scommesso su Transizione 5.0: si ritrovano con un terzo di quanto lo Stato aveva garantito. 

È una rottura brutale della fiducia tra istituzioni e mondo produttivo.

Questo governo ha cambiato le regole a partita in corso, spostato risorse e ignorato imprese e territori. Tre anni di calo della produzione industriale parlano da soli: il fallimento della destra sulle politiche industriali è conclamato.

Ci batteremo in Parlamento per cancellare questi tagli e ripristinare le risorse. Le imprese e i lavoratori italiani meritano uno Stato che mantenga la parola.",Il decreto fiscale infligge un colpo durissimo alle imprese che avevano scommesso su Transizione 5.0: si ritrovano con un terzo di quanto lo Stato aveva garantito. È una rottura...
lavoro,3,0.37,2026-03-19_002,"La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del governo. È dove vogliono arrivare, e anche per questo votiamo no.",La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del g...
lavoro,4,0.324,2026-03-20_003,"La destra ha passato la campagna elettorale a urlare “chi sbaglia paga”. Ma per loro, a quanto pare, non vale.","La destra ha passato la campagna elettorale a urlare “chi sbaglia paga”. Ma per loro, a quanto pare, non vale. Questi qua hanno fatto tutta la campagna elettorale a partire dall..."
lavoro,5,0.301,2026-04-10_001,"A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno di oltre un metro e mezzo.

Siamo qui per portare vicinanza e sostegno alle comunità molisana che ha subito centinaia di milioni di euro di danni. Alle amministrazioni locali servono risorse per gli interventi, le migliori competenze tecniche, strumenti tecnologici per il monitoraggio: i cittadini aspettano e meritano risposte immediate.

Il Partito Democratico è in prima linea, a ogni livello istituzionale, per fare la propria parte e sostenerli. 

Ma non possiamo continuare a inseguire le emergenze. È urgente, lo ribadiamo, un grande piano nazionale di prevenzione e messa in sicurezza del territorio contro il dissesto idrogeologico. Non possiamo più essere un Paese che spende 4 volte dopo le emergenze ciò che invece investe in prevenzione.","A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno ..."
sanita,1,0.275,2026-04-10_001,"A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno di oltre un metro e mezzo.

Siamo qui per portare vicinanza e sostegno alle comunità molisana che ha subito centinaia di milioni di euro di danni. Alle amministrazioni locali servono risorse per gli interventi, le migliori competenze tecniche, strumenti tecnologici per il monitoraggio: i cittadini aspettano e meritano risposte immediate.

Il Partito Democratico è in prima linea, a ogni livello istituzionale, per fare la propria parte e sostenerli. 

Ma non possiamo continuare a inseguire le emergenze. È urgente, lo ribadiamo, un grande piano nazionale di prevenzione e messa in sicurezza del territorio contro il dissesto idrogeologico. Non possiamo più essere un Paese che spende 4 volte dopo le emergenze ciò che invece investe in prevenzione.","A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno ..."
sanita,2,0.251,2026-04-03_001,"Come in Abruzzo e in Molise, anche in Puglia la situazione è critica a causa delle intense precipitazioni e dei fenomeni atmosferici estremi che hanno colpito le province di Foggia, della BAT e anche le aree più a sud, nel Tarantino.

Il torrente Cervaro è esondato, arrivando a coprire diverse strade provinciali e causando disagi anche alla circolazione ferroviaria.
L’esondazione dell’Ofanto ha causato ingenti danni alle coltivazioni, a strade e ferrovie.
Un sentito ringraziamento ai vigili del fuoco e alla protezione civile, impegnati in queste ore negli interventi nelle zone più a rischio della regione.","Come in Abruzzo e in Molise, anche in Puglia la situazione è critica a causa delle intense precipitazioni e dei fenomeni atmosferici estremi che hanno colpito le province di Fog..."
sanita,3,0.242,2026-04-02_001,"Siamo vicini alle comunità regionali di Abruzzo, Molise e anche della Puglia alle prese con gravi eventi atmosferici che stanno determinando una situazione di particolare gravità sotto il profilo della sicurezza del territorio, delle infrastrutture e delle attività economiche.

In Abruzzo, come ampiamente riportato dagli organi di stampa, si registrano ingenti danni causati da precipitazioni intense, esondazioni e smottamenti che hanno interessato vaste aree del territorio regionale. Numerosi comuni in difficoltà risultano colpiti da allagamenti, interruzioni della viabilità e disagi diffusi alla popolazione, con conseguenti ripercussioni anche sulle attività produttive e sui servizi essenziali a partite dall’approvvigionamento idrico, dei servizi ospedalieri e dei collegamenti ferroviari.

Nell’area dell’Alto Molise, le abbondanti nevicate in quota stanno provocando difficoltà nei collegamenti, mentre si segnalano fenomeni franosi che compromettono la stabilità del territorio e la sicurezza delle infrastrutture. Nel Basso Molise, la situazione è ulteriormente aggravata dal crollo di un ponte lungo la Trignina, evento di estrema gravità che fa temere la possibile presenza di vittime e che ha determinato l’interruzione di un’arteria viaria strategica.

L’intero comparto agricolo risulta duramente colpito, con coltivazioni danneggiate, terreni allagati e aziende in seria difficoltà, delineando un quadro complessivo di emergenza che richiede interventi urgenti e coordinati a sostegno dei territori interessati: serviranno anni per recuperare i danni di queste ore.

Prendiamo atto della richiesta di dichiarazione dello stato di emergenza avanzata dai Presidente delle Regioni colpite ma diciamo al Governo di fare presto per non lasciare da soli sindaci, comunità e attività produttive.","Siamo vicini alle comunità regionali di Abruzzo, Molise e anche della Puglia alle prese con gravi eventi atmosferici che stanno determinando una situazione di particolare gravit..."
sanita,4,0.228,2026-04-05_001,,"Buona Pasqua a tutte e tutti, sperando che avvicini la pace perché il mondo oggi più che mai ne ha bisogno. No alla guerra, che tacciano le armi, che si riprenda il dialogo, che..."
sanita,5,0.203,2026-03-16_002,Vi aspetto a Napoli!,Vi aspetto a Napoli! Martedì 17 marzo Ore 17:30 er difendere la Costituzione Stazione Marittima Napoli
scuola,1,0.267,2026-04-10_002,"Art. 1 della Costituzione: l’Italia è una Repubblica fondata sul lavoro.
Il governo Meloni vuole una Repubblica fondata sul lavoro povero e sul lavoro precario.",Art. 1 della Costituzione: l’Italia è una Repubblica fondata sul lavoro. Il governo Meloni vuole una Repubblica fondata sul lavoro povero e sul lavoro precario. Articolo 1. L'It...
scuola,2,0.252,2026-04-10_001,"A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno di oltre un metro e mezzo.

Siamo qui per portare vicinanza e sostegno alle comunità molisana che ha subito centinaia di milioni di euro di danni. Alle amministrazioni locali servono risorse per gli interventi, le migliori competenze tecniche, strumenti tecnologici per il monitoraggio: i cittadini aspettano e meritano risposte immediate.

Il Partito Democratico è in prima linea, a ogni livello istituzionale, per fare la propria parte e sostenerli. 

Ma non possiamo continuare a inseguire le emergenze. È urgente, lo ribadiamo, un grande piano nazionale di prevenzione e messa in sicurezza del territorio contro il dissesto idrogeologico. Non possiamo più essere un Paese che spende 4 volte dopo le emergenze ciò che invece investe in prevenzione.","A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno ..."
scuola,3,0.25,2026-03-19_002,"La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del governo. È dove vogliono arrivare, e anche per questo votiamo no.",La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del g...
scuola,4,0.24,2026-03-23_001,"Straordinaria partecipazione, una bella giornata per la democrazia! 
Un grande vittoria del NO contro una riforma sbagliata e per difendere la costituzione, in cui la mobilitazione della società civile e le nuove generazioni sono state decisive. 

Ora guardiamo avanti e sentiamo tutta la responsabilità di costruire un’alternativa all’altezza delle speranze e dei bisogni delle persone.","Straordinaria partecipazione, una bella giornata per la democrazia! Un grande vittoria del NO contro una riforma sbagliata e per difendere la costituzione, in cui la mobilitazio..."
scuola,5,0.236,2026-04-02_001,"Siamo vicini alle comunità regionali di Abruzzo, Molise e anche della Puglia alle prese con gravi eventi atmosferici che stanno determinando una situazione di particolare gravità sotto il profilo della sicurezza del territorio, delle infrastrutture e delle attività economiche.

In Abruzzo, come ampiamente riportato dagli organi di stampa, si registrano ingenti danni causati da precipitazioni intense, esondazioni e smottamenti che hanno interessato vaste aree del territorio regionale. Numerosi comuni in difficoltà risultano colpiti da allagamenti, interruzioni della viabilità e disagi diffusi alla popolazione, con conseguenti ripercussioni anche sulle attività produttive e sui servizi essenziali a partite dall’approvvigionamento idrico, dei servizi ospedalieri e dei collegamenti ferroviari.

Nell’area dell’Alto Molise, le abbondanti nevicate in quota stanno provocando difficoltà nei collegamenti, mentre si segnalano fenomeni franosi che compromettono la stabilità del territorio e la sicurezza delle infrastrutture. Nel Basso Molise, la situazione è ulteriormente aggravata dal crollo di un ponte lungo la Trignina, evento di estrema gravità che fa temere la possibile presenza di vittime e che ha determinato l’interruzione di un’arteria viaria strategica.

L’intero comparto agricolo risulta duramente colpito, con coltivazioni danneggiate, terreni allagati e aziende in seria difficoltà, delineando un quadro complessivo di emergenza che richiede interventi urgenti e coordinati a sostegno dei territori interessati: serviranno anni per recuperare i danni di queste ore.

Prendiamo atto della richiesta di dichiarazione dello stato di emergenza avanzata dai Presidente delle Regioni colpite ma diciamo al Governo di fare presto per non lasciare da soli sindaci, comunità e attività produttive.","Siamo vicini alle comunità regionali di Abruzzo, Molise e anche della Puglia alle prese con gravi eventi atmosferici che stanno determinando una situazione di particolare gravit..."
sicurezza,1,0.469,2026-03-19_004,"Andiamo a votare NO a una riforma sbagliata.
Il 22 e il 23 marzo difendiamo la Costituzione.","Andiamo a votare NO a una riforma sbagliata. Il 22 e il 23 marzo difendiamo la Costituzione. Questa non è una riforma che migliora la giustizia per voi, non migliora la giustizi..."
sicurezza,2,0.468,2026-03-15_002,Il 22 e 23 marzo difendiamo la nostra Costituzione.,Il 22 e 23 marzo difendiamo la nostra Costituzione. Referendum Ma vi pare normale che la Presidente del Consiglio di questo Paese dica che se vince il no ci saranno più stuprato...
sicurezza,3,0.466,2026-03-20_003,"La destra ha passato la campagna elettorale a urlare “chi sbaglia paga”. Ma per loro, a quanto pare, non vale.","La destra ha passato la campagna elettorale a urlare “chi sbaglia paga”. Ma per loro, a quanto pare, non vale. Questi qua hanno fatto tutta la campagna elettorale a partire dall..."
sicurezza,4,0.449,2026-03-19_002,"La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del governo. È dove vogliono arrivare, e anche per questo votiamo no.",La destra continua a ripetere che la separazione delle carriere c’è in altri paesi europei. Quello che non dice è che in molti di quei paesi il pubblico ministero è organo del g...
sicurezza,5,0.439,2026-04-10_001,"A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno di oltre un metro e mezzo.

Siamo qui per portare vicinanza e sostegno alle comunità molisana che ha subito centinaia di milioni di euro di danni. Alle amministrazioni locali servono risorse per gli interventi, le migliori competenze tecniche, strumenti tecnologici per il monitoraggio: i cittadini aspettano e meritano risposte immediate.

Il Partito Democratico è in prima linea, a ogni livello istituzionale, per fare la propria parte e sostenerli. 

Ma non possiamo continuare a inseguire le emergenze. È urgente, lo ribadiamo, un grande piano nazionale di prevenzione e messa in sicurezza del territorio contro il dissesto idrogeologico. Non possiamo più essere un Paese che spende 4 volte dopo le emergenze ciò che invece investe in prevenzione.","A Petacciato, in Molise, insieme al sindaco Antonio Di Pardo, dove dopo gli eventi climatici estremi dei giorni scorsi si è riattivata la frana, con un abbassamento del terreno ..."
