doc_id,folder_id,caption,best_tema,best_score,forza,estratto
6,2026-03-13_004,"Ieri a Campo Santa Margherita, nel cuore di Venezia, per dire NO al referendum del 22 e 23 marzo.

Da sud a nord d’Italia prosegue la mobilitazione in difesa della nostra Costituzione.
Grazie!",europa,0.438,debole,"Ieri a Campo Santa Margherita, nel cuore di Venezia, per dire NO al referendum del 22 e 23 marzo. Da sud a nord d’Italia prosegue la mobilitazione in difesa della nostra Costitu..."
8,2026-03-14_002,"Grazie alle migliaia di militanti del PD che oggi e domani sono nelle strade e nelle piazze di tutta Italia per la nostra mobilitazione a sostegno del NO al referendum del 22 e 23 marzo.
Forza!",europa,0.438,debole,Grazie alle migliaia di militanti del PD che oggi e domani sono nelle strade e nelle piazze di tutta Italia per la nostra mobilitazione a sostegno del NO al referendum del 22 e ...
27,2026-03-20_005,"E stasera chiudiamo il tour per il NO al referendum costituzionale a MILANO! 

Ricordate che per questo referendum non c’è quorum, OGNI VOTO PUÒ FARE LA DIFFERENZA! 

Cercate di convincere più persone possibile a votare NO per difendere la nostra Costituzione e fermare una riforma che non migliora la giustizia per i cittadini, ma indebolisce l’indipendenza dei giudici che tutela tutti, soprattutto chi non ha il potere o i soldi per cavarsela comunque.",giustizia,0.435,debole,"E stasera chiudiamo il tour per il NO al referendum costituzionale a MILANO! Ricordate che per questo referendum non c’è quorum, OGNI VOTO PUÒ FARE LA DIFFERENZA! Cercate di con..."
12,2026-03-16_001,"La corruzione elettorale in Italia è un reato. 

Per fortuna che Giorgia Meloni aveva detto che avrebbero fatto la campagna elettorale sul merito.",sicurezza,0.429,debole,La corruzione elettorale in Italia è un reato. Per fortuna che Giorgia Meloni aveva detto che avrebbero fatto la campagna elettorale sul merito. Per fortuna che Giorgia Meloni a...
14,2026-03-17_001,"A Napoli insieme a Pier Luigi Bersani per sostenere le ragioni del NO al referendum di domenica e lunedì.
E domani dalle 17 ci vediamo in Piazza del Popolo a Roma per la manifestazione nazionale del NO al referendum! 
Mancano pochi giorni alla fine di questa campagna in difesa della Costituzione: ora più che mai serve l’impegno, l’energia e la passione di tutte e tutti voi.

Avanti insieme, forza!",europa,0.429,debole,A Napoli insieme a Pier Luigi Bersani per sostenere le ragioni del NO al referendum di domenica e lunedì. E domani dalle 17 ci vediamo in Piazza del Popolo a Roma per la manifes...
15,2026-03-17_002,La mia intervista di questa sera al Tg1.,immigrazione,0.429,debole,La mia intervista di questa sera al Tg1. Questa guerra illegale sta già costando 17 milioni in più al giorno agli italiani solo di carburanti e 10 milioni entrano in più nelle c...
11,2026-03-15_003,"Grazie Bologna!

Inizia l’ultima settimana della nostra campagna per il NO al referendum del 22 e 23 marzo.
Sette giorni ancora di impegno, partecipazione e mobilitazione per difendere la nostra Costituzione.

Forza, andiamo a vincere!",europa,0.428,debole,"Grazie Bologna! Inizia l’ultima settimana della nostra campagna per il NO al referendum del 22 e 23 marzo. Sette giorni ancora di impegno, partecipazione e mobilitazione per dif..."
26,2026-03-20_004,"Grazie Milano!

Il 22 e il 23 marzo difendiamo la Costituzione, votiamo NO.",europa,0.424,debole,"Grazie Milano! Il 22 e il 23 marzo difendiamo la Costituzione, votiamo NO."
49,2026-04-05_001,,immigrazione,0.423,debole,"Buona Pasqua a tutte e tutti, sperando che avvicini la pace perché il mondo oggi più che mai ne ha bisogno. No alla guerra, che tacciano le armi, che si riprenda il dialogo, che..."
41,2026-03-31_001,,europa,0.42,debole,"Partito Democratico Negare l’autorizzazione da parte dell’Italia non può essere una decisione sporadica, deve diventare una linea politica espressa con chiarezza, anche in vista..."
22,2026-03-19_005,Venerdì a Milano. Vi aspetto.,europa,0.419,debole,Venerdì a Milano. Vi aspetto. Venerdì Piazza 20 marzo Sant'Agostino Ore 18.00 Milano Elly SCHLEIN VOTA NO per difendere la Costituzione
55,2026-04-09_003,Il mio intervento in Aula dopo l’informativa della presidente del Consiglio sull’azione del governo.,europa,0.419,debole,"Il mio intervento in Aula dopo l’informativa della presidente del Consiglio sull’azione del governo. Presidente, il suo è stato un discorso di autoconvincimento. Lei ci sfida, m..."
40,2026-03-30_001,,sicurezza,0.411,debole,Appare evidente che le dimissioni di Delmastro e il tentativo di relegare a una “leggerezza” il fatto che un membro del governo fosse nella stessa società in cui secondo le accu...
5,2026-03-13_003,Domenica a Bologna. Vi aspetto!,europa,0.41,debole,Domenica a Bologna. Vi aspetto! Domenica Piazza 15 marzo San Francesco Ore 10:30 Elly SCHLEIN \ { a Ya | » Lo 010 Le © | i © i Si i @ 4 À VOTA NO per difendere la Costituzione
54,2026-04-09_002,Quattro anni di governo Meloni: avevano i numeri per fare tutto e non hanno fatto nulla per migliorare la vita degli Italiani.,europa,0.409,debole,Quattro anni di governo Meloni: avevano i numeri per fare tutto e non hanno fatto nulla per migliorare la vita degli Italiani. Avevate i numeri qua dentro per fare tutto e non a...
32,2026-03-23_002,La mia conferenza stampa sull’esito del referendum costituzionale.,europa,0.408,debole,La mia conferenza stampa sull’esito del referendum costituzionale. Grazie a tutti. Oggi c'è stata una grandissima mobilitazione popolare. Oggi e ieri due giornate straordinarie ...
33,2026-03-24_001,"Una grande mobilitazione popolare trainata dalle nuove generazioni ha fermato una riforma sbagliata. La Costituzione è di tutti, non di una parte.",giustizia,0.403,debole,"Una grande mobilitazione popolare trainata dalle nuove generazioni ha fermato una riforma sbagliata. La Costituzione è di tutti, non di una parte. Questa è una vittoria vostra! ..."
20,2026-03-19_003,,sicurezza,0.399,debole,"Meloni la smetta di difendere i suoi e cominci a difendere la dignità delle istituzioni e gli interessi italiani. Delmastro, già condannato per aver rivelato informazioni copert..."
31,2026-03-23_001,"Straordinaria partecipazione, una bella giornata per la democrazia! 
Un grande vittoria del NO contro una riforma sbagliata e per difendere la costituzione, in cui la mobilitazione della società civile e le nuove generazioni sono state decisive. 

Ora guardiamo avanti e sentiamo tutta la responsabilità di costruire un’alternativa all’altezza delle speranze e dei bisogni delle persone.",giustizia,0.399,debole,"Straordinaria partecipazione, una bella giornata per la democrazia! Un grande vittoria del NO contro una riforma sbagliata e per difendere la costituzione, in cui la mobilitazio..."
3,2026-03-13_001,Con le nostre volontarie e i nostri volontari saremo in tutta Italia con banchetti e volantinaggi per quest’ultimo fine settimana di campagna per il NO al referendum del 22 e 23 marzo!,europa,0.398,debole,Con le nostre volontarie e i nostri volontari saremo in tutta Italia con banchetti e volantinaggi per quest’ultimo fine settimana di campagna per il NO al referendum del 22 e 23...
29,2026-03-21_001,"Come ogni anno, anche per questo 21 marzo, stavolta a Torino, camminiamo insieme a Libera, a tante associazioni e giovani nella Giornata della memoria e dell’impegno per le vittime innocenti delle mafie, fianco a fianco coi loro familiari che ancora lottano per avere verità e giustizia.",sicurezza,0.397,debole,"Come ogni anno, anche per questo 21 marzo, stavolta a Torino, camminiamo insieme a Libera, a tante associazioni e giovani nella Giornata della memoria e dell’impegno per le vitt..."
42,2026-04-02_001,"Siamo vicini alle comunità regionali di Abruzzo, Molise e anche della Puglia alle prese con gravi eventi atmosferici che stanno determinando una situazione di particolare gravità sotto il profilo della sicurezza del territorio, delle infrastrutture e delle attività economiche.

In Abruzzo, come ampiamente riportato dagli organi di stampa, si registrano ingenti danni causati da precipitazioni intense, esondazioni e smottamenti che hanno interessato vaste aree del territorio regionale. Numerosi comuni in difficoltà risultano colpiti da allagamenti, interruzioni della viabilità e disagi diffusi alla popolazione, con conseguenti ripercussioni anche sulle attività produttive e sui servizi essenziali a partite dall’approvvigionamento idrico, dei servizi ospedalieri e dei collegamenti ferroviari.

Nell’area dell’Alto Molise, le abbondanti nevicate in quota stanno provocando difficoltà nei collegamenti, mentre si segnalano fenomeni franosi che compromettono la stabilità del territorio e la sicurezza delle infrastrutture. Nel Basso Molise, la situazione è ulteriormente aggravata dal crollo di un ponte lungo la Trignina, evento di estrema gravità che fa temere la possibile presenza di vittime e che ha determinato l’interruzione di un’arteria viaria strategica.

L’intero comparto agricolo risulta duramente colpito, con coltivazioni danneggiate, terreni allagati e aziende in seria difficoltà, delineando un quadro complessivo di emergenza che richiede interventi urgenti e coordinati a sostegno dei territori interessati: serviranno anni per recuperare i danni di queste ore.

Prendiamo atto della richiesta di dichiarazione dello stato di emergenza avanzata dai Presidente delle Regioni colpite ma diciamo al Governo di fare presto per non lasciare da soli sindaci, comunità e attività produttive.",sicurezza,0.388,debole,"Siamo vicini alle comunità regionali di Abruzzo, Molise e anche della Puglia alle prese con gravi eventi atmosferici che stanno determinando una situazione di particolare gravit..."
45,2026-04-02_004,"La destra salva Giusi Bartolozzi, ma condanna 32 deputati che hanno difeso l’aula parlamentare dalla presenza di neofascisti.",giustizia,0.384,debole,"La destra salva Giusi Bartolozzi, ma condanna 32 deputati che hanno difeso l’aula parlamentare dalla presenza di neofascisti. Perché oggi è successa una cosa gravissima, l'uffic..."
4,2026-03-13_002,Giorgia Meloni pensa davvero che gli italiani siano stupidi?,sicurezza,0.377,debole,Giorgia Meloni pensa davvero che gli italiani siano stupidi? e ono stupratore ‘A A Ma vi sembra normale che la Presidente del Consiglio dica che se vince il no ci saranno stupra...
48,2026-04-03_001,"Come in Abruzzo e in Molise, anche in Puglia la situazione è critica a causa delle intense precipitazioni e dei fenomeni atmosferici estremi che hanno colpito le province di Foggia, della BAT e anche le aree più a sud, nel Tarantino.

Il torrente Cervaro è esondato, arrivando a coprire diverse strade provinciali e causando disagi anche alla circolazione ferroviaria.
L’esondazione dell’Ofanto ha causato ingenti danni alle coltivazioni, a strade e ferrovie.
Un sentito ringraziamento ai vigili del fuoco e alla protezione civile, impegnati in queste ore negli interventi nelle zone più a rischio della regione.",ambiente,0.372,debole,"Come in Abruzzo e in Molise, anche in Puglia la situazione è critica a causa delle intense precipitazioni e dei fenomeni atmosferici estremi che hanno colpito le province di Fog..."
28,2026-03-20_006,La mia intervista di oggi su Avvenire.,immigrazione,0.354,debole,"La mia intervista di oggi su Avvenire. ped On. ud ey +) oo | BY ‘bias » A ~ 7 «= P af A, È Perciò chiediamo alla premier di assicurare già da ora che, se Trump dovesse chiedere ..."
36,2026-03-25_003,"Delmastro e Bartolozzi hanno presentato dimissioni tardive ma necessarie, e abbiamo già presentato una mozione di sfiducia della ministra Santanché, che dopo le parole di Meloni ci aspettiamo venga calendarizzata subito e votata anche dalla maggioranza.",europa,0.347,debole,"Delmastro e Bartolozzi hanno presentato dimissioni tardive ma necessarie, e abbiamo già presentato una mozione di sfiducia della ministra Santanché, che dopo le parole di Meloni..."
51,2026-04-08_001,,immigrazione,0.336,debole,"La notizia della tregua va salutata positivamente, ma è fragilissima e tutti la devono rispettare, mentre Netanyahu continua a bombardare il Libano come se nulla fosse. Tajani h..."
43,2026-04-02_002,,giustizia,0.335,debole,0 Partito | Democratico Da anni Sotoudeh vive sotto costante sorveglianza ed e bersaglio del regime iraniano per il suo impegno in difesa dei diritti civili. La sua scomparsa fo...
2,2026-03-12_003,Il governo non può dire a Trump sempre di sì.,sicurezza,0.321,debole,"Il governo non può dire a Trump sempre di sì. Presidente, non può dire a Trump sempre di sì. Siamo tutti d'accordo che il regime deve fermare le ritorsioni inaccettabili, ma per..."
52,2026-04-08_002,"“Giulio Regeni era uno dei figli migliori di questo Paese. 
Avete perso un pezzo della vostra dignità.” - @gianni.cuperlo",giustizia,0.317,debole,"“Giulio Regeni era uno dei figli migliori di questo Paese. Avete perso un pezzo della vostra dignità.” - @gianni.cuperlo Signor Ministro, le confesso che speravamo oggi, in un s..."
13,2026-03-16_002,Vi aspetto a Napoli!,sicurezza,0.316,debole,Vi aspetto a Napoli! Martedì 17 marzo Ore 17:30 er difendere la Costituzione Stazione Marittima Napoli
39,2026-03-29_002,"A nome del Partito democratico voglio esprimere tutta la nostra solidarietà al Cardinale Pizzaballa, a Padre Ielpo e a tutti i fedeli a cui le autorità israeliane hanno impedito oggi di celebrare la Messa delle Palme al Santo Sepolcro.

La violenza cieca e la protervia senza limiti del Governo israeliano ha raggiunto anche uno dei luoghi più sacri della cristianità, offendendo la dignità dei credenti e umiliando l’intera comunità cristiana. Colpire la libertà di culto è l’ennesima violazione dei più elementari diritti umani compiuta nella sostanziale impunità, e rappresenta un atto di ostilità nei confronti di milioni di cristiani nel mondo.

Siamo vicini al Patriarca di Gerusalemme, al Custode del Santo Sepolcro e a tutta la comunità cristiana di Terrasanta, da sempre testimoni di un’idea di convivenza pacifica profondamente lontana dal suprematismo di Netanyahu e degli estremisti di destra suoi complici.

Il Governo italiano esprima forte la sua condanna e prenda una volta per tutte le distanze dal criminale Governo Netanyahu, promuovendo azioni concrete per fermare e sanzionare le sue sistematiche violazioni dei diritti umani e delle libertà.",sicurezza,0.316,debole,"A nome del Partito democratico voglio esprimere tutta la nostra solidarietà al Cardinale Pizzaballa, a Padre Ielpo e a tutti i fedeli a cui le autorità israeliane hanno impedito..."
7,2026-03-14_001,"Giorgia Meloni torni dal benzinaio da cui faceva i video a controllare ora i prezzi dei carburanti. 
La guerra illegale di Trump e Netanyahu sta già costando al giorno agli italiani 16,5 milioni in più di carburanti. Il governo si sbrighi sulla nostra proposta di accise mobili.",immigrazione,0.315,debole,Giorgia Meloni torni dal benzinaio da cui faceva i video a controllare ora i prezzi dei carburanti. La guerra illegale di Trump e Netanyahu sta già costando al giorno agli itali...
17,2026-03-18_002,Gli italiani spendono 16 milioni e mezzo in più al giorno solo di carburanti. Sono passati dieci giorni dalla nostra proposta per abbassare le accise: il governo si deve sbrigare.,europa,0.313,debole,Gli italiani spendono 16 milioni e mezzo in più al giorno solo di carburanti. Sono passati dieci giorni dalla nostra proposta per abbassare le accise: il governo si deve sbrigar...
50,2026-04-07_001,"Trump è arrivato a dire che questa notte potrebbe morire una intera civiltà.
E questa è la stessa persona che Giorgia Meloni proponeva per il premio Nobel per la pace.",immigrazione,0.282,debole,Trump è arrivato a dire che questa notte potrebbe morire una intera civiltà. E questa è la stessa persona che Giorgia Meloni proponeva per il premio Nobel per la pace. smantella...
53,2026-04-09_001,Ancora non riescono a dire a Trump e Netanyahu: vi dovete fermare.,immigrazione,0.28,debole,"Ancora non riescono a dire a Trump e Netanyahu: vi dovete fermare. Presidente, due giorni fa il Presidente Trump ha minacciato di morte un'intera civiltà, è lo stesso uomo per c..."
30,2026-03-22_001,Buon voto!,europa,0.219,debole,Buon voto!
9,2026-03-15_001,"Grazie alle atlete e agli atleti della nostra delegazione per l’impegno, il sacrificio e la passione che ci hanno regalato in questa edizione dei Giochi Paralimpici Invernali. Che risultati storici, 16 medaglie per l’Italia!",europa,0.203,debole,"Grazie alle atlete e agli atleti della nostra delegazione per l’impegno, il sacrificio e la passione che ci hanno regalato in questa edizione dei Giochi Paralimpici Invernali. C..."
35,2026-03-25_002,"Anche Daniela Santanchè si è dimessa, comunque sempre troppo tardi.",immigrazione,0.163,debole,"Anche Daniela Santanchè si è dimessa, comunque sempre troppo tardi. Santanchè si è dimessa"
